Entity,Access to electricity (% of population),Access to clean fuels for cooking,Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Value_co2_emissions_kt_by_country,gdp_growth,gdp_per_capita,Density\n(P/Km2),Land Area(Km2)
Mexico,99.6,84.9,10.34,248.2,10.88,59.0,21.969315,17903.295,449269.989,-0.176599456,9950.45008,66,1964375.0
Mongolia,97.22991,50.1,3.32,5.88,0.0,0.65,9.954058,24279.39,23069.99969,5.602244219,4404.84583,2,1564116.0
Montenegro,100.0,62.0,38.74,1.5,0.0,1.93,56.26822,20460.55,2599.999905,4.062944992,8910.650834,47,13812.0
Morocco,99.6,98.0,10.69,32.38,0.0,7.6,19.009504,7267.464,71480.00336,2.607935495,3235.00066,83,446550.0
Mozambique,29.67445,4.8,78.08,3.65,0.0,15.06,80.49172,2446.9106,7500.0,2.31460601,506.6416391,40,799380.0
Myanmar,68.35853,28.9,57.85,12.78,0.0,10.95,46.144123,3197.22,36720.00122,6.750460146,1271.111575,83,676578.0
Namibia,55.17709,46.5,30.69,0.04,0.0,1.32,97.05882,9254.443,4219.99979,-0.88809916,5009.685904,3,824292.0
Nauru,100.0,100.0,0.61,0.03,0.0,0.0,0.0,22405.49,59.99999866,0.0,11029.73558,541,21.0
Nepal,89.9,33.6,77.39,0.0,0.0,6.26,100.0,1700.5831,13449.99981,6.657055428,1194.956876,203,147181.0
Netherlands,100.0,100.0,8.54,94.09,3.91,22.79,22.104479,58836.934,146339.9963,1.955588416,52476.27325,508,41543.0
New Zealand,100.0,100.0,29.65,7.84,0.0,35.97,82.10454,53259.336,34009.99832,1.633932613,42755.21626,18,268838.0
Nicaragua,88.05833,55.1,50.71,2.17,0.0,2.31,51.5625,4225.4365,5239.999771,-3.674794578,1926.699694,55,130370.0
Niger,18.974571,2.3,80.83,0.56,0.0,0.05,8.196721,468.4848,2150.000095,5.941396863,554.0993893,19,1267000.0
Nigeria,55.4,12.9,81.4,23.16,0.0,8.49,26.824644,2482.8318,115279.9988,2.208429277,2229.858652,226,923768.0
North Macedonia,100.0,77.3,16.32,4.53,0.0,1.34,22.82794,14689.626,8300.000191,3.910419538,6070.388054,83,25713.0
Norway,100.0,100.0,62.37,2.76,0.0,131.07,97.93769,96392.5,35950.00076,0.745798219,75719.7529,15,323802.0
Oman,100.0,100.0,0.0,36.03,0.0,0.02,0.055478502,81070.86,76029.99878,-1.129206457,17700.70349,16,309500.0
Pakistan,74.12769,47.8,43.36,86.44,9.07,40.52,36.455193,4400.1157,190570.0073,1.144749605,1288.556325,287,796095.0
Panama,95.81633,87.6,18.91,4.15,0.0,6.24,60.057747,27875.5,13340.00015,2.979715461,15774.25494,58,75420.0
Papua New Guinea,59.662975,9.1,53.09,3.16,0.0,1.28,28.828829,3159.5166,7579.999924,4.480430608,2820.306397,20,462840.0
Paraguay,99.7,68.0,60.09,0.07,0.0,48.99,99.857315,19903.92,8210.000038,-0.401855101,5380.963322,18,406752.0
Peru,95.55136,83.25,27.12,22.16,0.0,34.41,60.827293,9949.632,56750.0,2.203974749,7027.612207,26,1285216.0
Philippines,95.64508,46.5,26.73,83.3,0.0,22.78,21.47436,5104.391,145419.9982,6.118525663,3485.340844,368,300000.0
Poland,100.0,100.0,12.18,137.58,0.0,25.46,15.615801,30777.799,295130.0049,4.744950156,15732.20313,124,312685.0
Portugal,100.0,100.0,28.19,24.32,0.0,27.41,52.986664,28468.56,44639.99939,2.682759921,23330.81729,111,92212.0
Qatar,100.0,100.0,0.04,46.98,0.0,0.03,0.06381621,208021.3,91970.00122,0.68824096,62276.42869,248,11586.0
Romania,100.0,87.7,23.54,23.27,11.28,24.63,60.679283,19839.047,73949.99695,4.188260341,12899.34611,84,238391.0
Rwanda,40.368607,1.9,77.86,0.55,0.0,0.47,46.078434,525.5729,1330.000043,9.460682482,820.1492886,525,26338.0
Samoa,99.2,35.3,34.21,0.09,0.0,0.06,40.0,7697.959,300.0000119,4.379825545,4322.868457,70,2831.0
Sao Tome and Principe,74.9672,3.0,37.09,0.08,0.0,0.01,11.111111,3418.4949,150.000006,2.210855833,1987.579702,242,836.0
Senegal,70.4,24.7,37.2,4.45,0.0,0.72,13.926498,2753.3909,10619.99989,4.402406836,1430.148259,87,196722.0
Serbia,99.8,78.6,21.53,26.35,0.0,10.51,28.513292,26602.787,45950.00076,4.331734906,7417.203649,100,77474.0
Seychelles,100.0,100.0,1.47,0.49,0.0,0.04,7.54717,45777.125,610.0000143,1.191005738,16213.48076,214,455.0
Sierra Leone,22.7,0.7,75.44,0.02,0.0,0.19,90.4762,513.0044,899.9999762,5.254241203,521.7548367,111,71740.0
Singapore,100.0,100.0,0.84,50.96,0.0,0.78,1.5075376,158657.89,47380.00107,1.345217486,65640.70795,8358,716.0
Slovenia,100.0,100.0,20.86,5.03,5.82,5.04,68.34487,37905.92,13600.00038,3.250531336,25942.95477,103,20273.0
Solomon Islands,69.80942,9.2,48.39,0.1,0.0,0.0,0.0,2027.3756,360.0000143,1.204049986,2344.048976,25,28896.0
Somalia,49.2,2.9,95.03,0.33,0.0,0.02,5.714286,227.57283,689.9999976,8.081440022,419.3948077,25,637657.0
South Africa,85.0,86.3,10.5,208.39,13.6,12.57,11.15706,25511.209,439640.0146,0.113053697,6624.761865,49,1219090.0
