Entity,Year,Access to electricity (% of population),Access to clean fuels for cooking,Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Value_co2_emissions_kt_by_country,gdp_growth,gdp_per_capita,Density\n(P/Km2),Land Area(Km2)
Estonia,2014,100.0,100.0,25.3,11.06,0.0,1.39,11.164659,56413.82,17940.00053,3.011366587,20234.11742,31,45228.0
Estonia,2019,100.0,100.0,31.29,5.47,0.0,2.14,28.120895,47295.336,10180.00031,4.096342644,23397.12001,31,45228.0
Eswatini,2014,65.0,46.3,71.67,0.04,0.0,0.61,93.84616,5096.1387,750.0,0.923230547,4039.159341,67,17364.0
Eswatini,2019,76.86944,53.8,65.95,0.04,0.0,0.67,94.3662,5780.252,959.9999785,2.61303529,3915.643467,67,17364.0
Ethiopia,2014,27.2,3.7,91.25,0.02,0.0,9.45,99.7888,697.6292,12340.00015,10.25749296,566.9264029,115,1104300.0
Ethiopia,2019,48.06359,7.0,88.92,0.01,0.0,14.22,99.929726,921.99115,18360.00061,8.364085699,855.7608852,115,1104300.0
Fiji,2014,93.786606,38.1,33.17,0.38,0.0,0.53,58.241753,7886.4253,1289.999962,5.603514887,5605.609148,49,18274.0
Fiji,2019,99.71588,49.4,26.48,0.42,0.0,0.71,62.83186,9417.632,1629.999995,-0.445563044,6175.890653,49,18274.0
Finland,2014,100.0,100.0,41.25,17.95,23.58,26.28,73.528984,60391.24,46159.99985,-0.364908157,50260.29986,18,338145.0
Finland,2019,100.0,100.0,45.76,12.63,23.87,31.88,81.52969,59219.418,40709.99908,1.220754143,48628.64176,18,338145.0
France,2014,100.0,100.0,13.2,35.68,436.48,94.03,93.69823,43808.914,306100.0061,0.956183052,43011.2631,119,643801.0
France,2019,100.0,100.0,15.53,53.5,399.01,113.21,90.54302,42326.785,300519.989,1.842971814,40578.64429,119,643801.0
Gabon,2014,86.96431,84.65,81.3,1.13,0.0,0.79,41.145836,10845.483,5960.000038,4.314964441,9663.42411,9,267667.0
Gabon,2019,90.726295,87.8,89.88,1.25,0.0,1.01,44.690266,7427.6616,5250.0,3.920808795,7766.996554,9,267667.0
Georgia,2014,100.0,77.0,31.34,1.91,0.0,8.25,81.20079,17044.346,8470.000267,4.431924823,4739.188338,57,69700.0
Georgia,2019,100.0,87.7,25.22,2.67,0.0,8.93,76.98276,19659.346,10109.99966,4.982350475,4697.983652,57,69700.0
Germany,2014,100.0,100.0,14.02,360.28,97.13,162.54,41.88564,45327.562,736010.0098,2.209543431,47959.99327,240,357022.0
Germany,2019,100.0,100.0,17.17,284.09,75.07,240.33,52.611385,44467.746,657400.0244,1.055508247,46794.89929,240,357022.0
Ghana,2014,78.3,20.5,47.69,4.31,0.0,8.32,65.8749,2673.1282,15090.00015,2.856240163,2012.264247,137,238533.0
Ghana,2019,83.5,22.4,41.8,9.37,0.0,7.32,43.858597,3135.595,20040.00092,6.507774794,2246.625578,137,238533.0
Greece,2014,100.0,100.0,16.41,38.17,0.0,12.18,24.190666,28344.934,69550.00305,0.475695947,21587.95755,81,131957.0
Greece,2019,100.0,100.0,18.51,32.48,0.0,16.1,33.14121,29966.309,60000.0,1.803595256,19133.75776,81,131957.0
Grenada,2014,90.85538,91.5,11.26,0.19,0.0,0.0,0.0,9650.67,250.0,7.344076522,8370.040472,331,349.0
Grenada,2019,93.120964,89.6,10.37,0.21,0.0,0.0,0.0,10655.754,330.0000131,0.7355827,10827.43529,331,349.0
Guatemala,2014,85.49437,41.6,66.36,3.83,0.0,6.86,64.17213,4562.1045,13949.99981,4.443977583,3779.642336,167,108889.0
Guatemala,2019,95.742004,48.6,62.92,5.51,0.0,8.3,60.101376,5851.735,19309.99947,3.866856575,4638.634943,167,108889.0
Guinea,2014,33.35312,0.9,78.57,0.27,0.0,0.42,60.869564,990.09143,2240.00001,3.696541843,787.2385644,53,245857.0
Guinea,2019,42.2,1.6,65.44,0.75,0.0,1.31,63.592236,1201.7898,3950.000048,5.646175568,1058.143368,53,245857.0
Guinea-Bissau,2014,17.2,1.1,87.28,0.03,0.0,0.0,0.0,907.5775,270.0000107,0.964560751,623.3130914,70,36125.0
Guinea-Bissau,2019,30.961557,1.0,86.24,0.08,0.0,0.0,0.0,703.1273,330.0000131,4.499999992,749.453747,70,36125.0
Guyana,2014,86.9,70.9,24.02,0.85,0.0,0.15,15.000001,11144.22,2059.999943,1.686027732,5407.147366,4,214969.0
Guyana,2019,91.91576,79.5,11.35,1.06,0.0,0.16,13.114754,14184.612,2849.999905,5.352627426,6609.51128,4,214969.0
Haiti,2014,39.49641,3.8,77.77,0.89,0.0,0.09,9.183673,1142.4454,3019.999981,1.722565602,1435.13647,414,27750.0
Haiti,2019,45.990234,4.4,76.4,0.85,0.0,0.17,16.666666,1184.3462,3319.999933,-1.684595081,1312.770636,414,27750.0
Honduras,2014,88.65377,45.1,53.63,4.76,0.0,3.61,43.130226,4979.008,9460.000038,3.058080562,2190.653139,89,112090.0
Honduras,2019,91.1,48.1,45.96,5.39,0.0,5.73,51.528778,5640.568,10220.00027,2.653066255,2556.456891,89,112090.0
Hungary,2014,100.0,100.0,15.72,10.54,15.65,3.16,64.088585,24145.828,40630.00107,4.223725539,14298.83367,107,93028.0
Hungary,2019,100.0,100.0,13.64,13.2,16.29,4.7,61.392223,28131.205,46380.00107,4.554063072,16735.65978,107,93028.0
Iceland,2014,100.0,100.0,76.99,0.0,0.0,17.8,100.0,178940.12,2049.999952,1.687215018,54576.74481,3,103000.0
