Entity,Year,Access to electricity (% of population),Access to clean fuels for cooking,Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Value_co2_emissions_kt_by_country,gdp_growth,gdp_per_capita,Density\n(P/Km2),Land Area(Km2)
Kiribati,0.0,0.827470655833076,0.052000000000000005,0.4883720930232558,3.922937809666903e-06,0.0,0.0,0.0,0.008211026140706503,9.339534314079381e-07,0.2560262032087076,0.011474187933665256,0.017352800382958354,7.912145935225165e-05
Kiribati,1.0,0.8960703096682677,0.091,0.43175839208670946,5.884406714500355e-06,0.0,0.0,0.0,0.010225663259047118,3.7358147707258584e-06,0.3822272712500314,0.011141966386928758,0.017352800382958354,7.912145935225165e-05
Kuwait,0.0,1.0,1.0,0.0,0.012010074104295223,0.0,4.9638384369865536e-06,0.00016329195,0.489066121050745,0.007987171385696898,0.2887382417556636,0.3555483455195814,0.028482527525131644,0.0017824362178380032
Kuwait,1.0,1.0,1.0,0.0006313795643481005,0.013818548434551667,0.0,2.9783030621919316e-05,0.0008509431000000001,0.40289971786631157,0.008648410725180172,0.28673468697724785,0.26073554121647796,0.028482527525131644,0.0017824362178380032
Latvia,0.0,1.0,1.0,0.4234452278227928,0.00045898372373102763,0.0,0.0013898747623562347,0.5447471,0.08562590893414591,0.0006752484915778492,0.32692508649134405,0.1256691016275213,0.003350885591191958,0.006466727072729347
Latvia,1.0,1.0,1.0,0.43691465852888567,0.0006374773940708718,0.0,0.0015834644613987104,0.4953416,0.0989944072243618,0.0007023331432003485,0.3428696244195231,0.14355750389639857,0.003350885591191958,0.006466727072729347
Lesotho,0.0,0.24715453846374688,0.358,0.44606966221193306,0.0,0.0,0.00025811959872330077,1.0,0.008013646028779683,5.230140435534491e-05,0.3217519144791032,0.007838377189493697,0.008257539492580183,0.003038063731634432
Lesotho,1.0,0.4212913432449429,0.39299999999999996,0.41534252341365885,0.0,0.0,0.00024819192184932765,1.0,0.008503508607311399,6.724465926160773e-05,0.2646586737020567,0.00717971766510137,0.008257539492580183,0.003038063731634432
Liberia,0.0,0.05529364521905078,0.004,0.8841418499421235,5.492112933533665e-05,0.0,0.0,0.0,0.003737271239736069,0.00010927257695111573,0.2942106348812378,0.004150498969052505,0.006103398755385352,0.011151919311334831
Liberia,1.0,0.19814659290667774,0.004,0.9180258865621382,6.0805536049837e-05,0.0,0.0,0.0,0.0038606079394089853,0.00010553675487967435,0.20773219330635864,0.0036024120406360606,0.006103398755385352,0.011151919311334831
