Entity,Access to electricity (% of population),Access to clean fuels for cooking,Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Value_co2_emissions_kt_by_country,gdp_growth,gdp_per_capita,Density\n(P/Km2),Land Area(Km2)
Guyana,0.9117441048034935,0.7945891783567134,0.11943596758918236,0.00020791570391234587,0.0,7.942141499178486e-05,0.13114754,0.06716775987458698,0.0002605732964384992,0.7367461433344327,0.05647640914176835,0.00023934897079942556,0.0215278473985415
Honduras,0.9028384279475982,0.47995991983967934,0.48363674629064507,0.0010572317397052303,0.0,0.002844279424393295,0.51528778,0.026049848778984197,0.0009488977961981641,0.5637518966939454,0.020605655411376666,0.010411680229775013,0.011224130162212012
Hungary,1.0,1.0,0.14353362096180153,0.002589138954380156,0.020125770623046418,0.00233300406538368,0.61392223,0.13428524792363683,0.004326077338843828,0.6855722561492783,0.14609587737952243,0.012565820966969843,0.00931499945566439
Iceland,1.0,1.0,0.8530990213616751,0.0,0.0,0.00949085909151829,1.0,0.8436258377837539,0.00014756480963974583,0.5497663541959005,0.6081329741586422,0.00011967448539971278,0.010313732610931041
India,0.9706142576419214,0.6382765531062125,0.3465221508997159,0.24981071825068354,0.055793726294461395,0.15048372605568436,0.21475914,0.03130138844219664,0.22940164440799213,0.6527294780675769,0.01657252491663258,0.0552896122546673,0.3292296003595119
Iraq,0.9999127074235807,0.9889779559118237,0.004524886877828054,0.01644691676702849,0.0,0.0026506897253508192,0.059872180000000004,0.0731629552876844,0.016297505781331812,0.7754967504285883,0.050910592868633586,0.010890378171373864,0.043896986263613276
Ireland,1.0,1.0,0.12985373040092602,0.003711099167944891,0.0,0.005857329355644133,0.3841146,0.18308205299612368,0.0033332836066073644,0.7088305576338739,0.7138511853407654,0.008496888463379608,0.00845297616370891
Israel,1.0,1.0,0.04703777754393349,0.013498829003063812,0.0,0.0014395131467261004,0.040435023,0.16775234096206432,0.005845621351474147,0.6355576888065724,0.3869620388679528,0.047630445189085685,0.002078090076075784
Italy,1.0,1.0,0.18173208460486162,0.034427702217636746,0.0,0.05749614061561524,0.39756306,0.14551204014576896,0.029623167880143346,0.42002875463088696,0.2957188457996193,0.024413595021541407,0.03017822659564698
Jamaica,0.993096288209607,0.8336673346693387,0.09565400399873723,0.0007061288057400426,0.0,0.00032264949840412596,0.15294117999999998,0.07295536961805198,0.0007779841297220432,0.45091730754816034,0.045501920913343645,0.03243178554332216,0.0010986865937901273
Japan,1.0,1.0,0.08092181416394822,0.1442974214529777,0.07892168369553132,0.09566309435760485,0.25860157,0.1955839366447801,0.10100810796452035,0.4110589130809342,0.3588743762934624,0.04128769746290091,0.03785040415541898
Jordan,1.0,0.998997995991984,0.08597285067873303,0.003218770472831694,0.0,0.001499079207969939,0.15542973999999998,0.053084707224947174,0.0022947261254070155,0.519048050033826,0.03697013050204895,0.013523216850167545,0.008945832747851226
Kiribati,0.8911883187772925,0.08917835671342686,0.43175839208670946,5.884406714500355e-06,0.0,0.0,0.0,0.011380804426619016,2.8018639561283767e-06,0.6453530379524571,0.012157201563988678,0.017352800382958354,7.912145935225165e-05
Kuwait,1.0,1.0,0.0006313795643481005,0.013818548434551667,0.0,2.9783030621919316e-05,0.0008509431000000001,0.45422440540171766,0.00864748484809691,0.42113005135819864,0.284493276984131,0.028482527525131644,0.0017824362178380032
Latvia,1.0,1.0,0.43691465852888567,0.0006374773940708718,0.0,0.0015834644613987104,0.4953416,0.11149098428292079,0.0007013998448437325,0.5529386459359054,0.15663819565449985,0.003350885591191958,0.006466727072729347
