Entity,Year,Access to electricity (% of population),Access to clean fuels for cooking,Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Value_co2_emissions_kt_by_country,gdp_growth,gdp_per_capita,Density\n(P/Km2),Land Area(Km2)
Comoros,2016.5,78.23028550000001,6.55,59.724999999999994,0.07500000000000001,0.0,0.0,0.0,1333.6603,244.9999973,1.927667359,1457.6863455,467.0,2235.0
Costa Rica,2016.5,99.534645,94.8,36.69,0.675,0.0,10.094999999999999,93.46623,12369.6905,8034.9998475,2.8992124785,11770.498814999999,100.0,51100.0
Croatia,2016.5,100.0,100.0,32.6,3.905,0.0,9.145,69.95705000000001,22805.9505,16380.000114999999,1.5679992774999998,14537.06988,73.0,56594.0
Cuba,2016.5,99.11199500000001,93.15,22.35,16.53,0.0,2.395,12.5675535,10431.7745,26300.00019,0.441368325,8129.608179,106.0,110860.0
Cyprus,2016.5,100.0,100.0,10.82,4.33,0.0,0.41500000000000004,8.619972,25240.949,7000.0,1.7269391434999999,28184.704845,131.0,9251.0
Denmark,2016.5,100.0,100.0,33.85,10.32,0.0,20.53,67.0319075,34266.878500000006,32760.000224999996,1.8670290095,61162.35991499999,137.0,43094.0
Djibouti,2016.5,58.915385,8.8,29.37,0.075,0.0,0.0,0.0,3516.3792999999996,409.99999645,7.4160202495,2939.6055415,43.0,23200.0
Dominica,2016.5,99.868275,89.1,9.010000000000002,0.07,0.0,0.025,26.111110500000002,11165.6265,175.0000045,6.0096694809999995,7916.883091,96.0,751.0
Dominican Republic,2016.5,98.73549,89.7,15.63,15.77,0.0,2.0,11.1634585,9818.147,24340.00015,6.051315855,7445.471316000001,225.0,48670.0
Ecuador,2016.5,99.03303500000001,94.375,14.955,9.225,0.0,18.645,64.7996165,11988.3105,40545.00008,1.900486826,6299.809291,71.0,283561.0
El Salvador,2016.5,96.24271,87.375,21.67,1.9700000000000002,0.0,4.145,67.814145,6643.2697499999995,7195.000172,2.0466456715000003,3878.386912,313.0,21041.0
Equatorial Guinea,2016.5,66.26175699999999,23.95,5.390000000000001,0.83,0.0,0.41500000000000004,33.502621000000005,20901.3545,6629.999876,-2.7819353015000003,13907.006998,50.0,28051.0
Estonia,2016.5,100.0,100.0,28.295,8.265,0.0,1.7650000000000001,19.642777000000002,51854.578,14060.00042,3.5538546154999997,21815.618714999997,31.0,45228.0
Eswatini,2016.5,70.93472,50.05,68.81,0.04,0.0,0.64,94.10618,5438.19535,854.99998925,1.7681329185,3977.401404,67.0,17364.0
Ethiopia,2016.5,37.631795,5.35,90.08500000000001,0.015,0.0,11.835,99.859263,809.810175,15350.00038,9.3107893295,711.34364405,115.0,1104300.0
Fiji,2016.5,96.751243,43.75,29.825000000000003,0.4,0.0,0.62,60.5368065,8652.02865,1459.9999785,2.5789759215,5890.7499005,49.0,18274.0
Finland,2016.5,100.0,100.0,43.504999999999995,15.29,23.725,29.08,77.529337,59805.329,43434.999465,0.427922993,49444.47081,18.0,338145.0
France,2016.5,100.0,100.0,14.364999999999998,44.59,417.745,103.62,92.12062499999999,43067.8495,303309.99755,1.399577433,41794.953695,119.0,643801.0
Gabon,2016.5,88.8453025,86.225,85.59,1.19,0.0,0.9,42.918051000000006,9136.5723,5605.000019,4.117886618,8715.210332,9.0,267667.0
Georgia,2016.5,100.0,82.35,28.28,2.29,0.0,8.59,79.091775,18351.846,9289.999963499999,4.707137649,4718.5859949999995,57.0,69700.0
Germany,2016.5,100.0,100.0,15.595,322.18499999999995,86.1,201.435,47.248512500000004,44897.653999999995,696705.0171,1.632525839,47377.446280000004,240.0,357022.0
Ghana,2016.5,80.9,21.45,44.745,6.84,0.0,7.82,54.8667485,2904.3616,17565.000535,4.6820074785,2129.4449125,137.0,238533.0
Greece,2016.5,100.0,100.0,17.46,35.325,0.0,14.14,28.665938,29155.6215,64775.001525,1.1396456015,20360.857655,81.0,131957.0
Grenada,2016.5,91.98817199999999,90.55,10.815,0.2,0.0,0.0,0.0,10153.212,290.00000654999997,4.039829611,9598.737881000001,331.0,349.0
Guatemala,2016.5,90.618187,45.1,64.64,4.67,0.0,7.58,62.136753,5206.91975,16629.999639999998,4.155417078999999,4209.1386395,167.0,108889.0
Guinea,2016.5,37.77656,1.25,72.005,0.51,0.0,0.865,62.2309,1095.940615,3095.000029,4.6713587055,922.6909662,53.0,245857.0
Guinea-Bissau,2016.5,24.0807785,1.05,86.75999999999999,0.055,0.0,0.0,0.0,805.3524,300.0000119,2.7322803715,686.3834191999999,70.0,36125.0
Guyana,2016.5,89.40788,75.2,17.685,0.9550000000000001,0.0,0.155,14.0573775,12664.416,2454.9999239999997,3.5193275789999996,6008.329323,4.0,214969.0
Haiti,2016.5,42.743322,4.1,77.08500000000001,0.87,0.0,0.13,12.925169499999999,1163.3958,3169.999957,0.018985260499999934,1373.9535529999998,414.0,27750.0
Honduras,2016.5,89.87688499999999,46.6,49.795,5.074999999999999,0.0,4.67,47.329502000000005,5309.7880000000005,9840.000154000001,2.8555734084999997,2373.555015,89.0,112090.0
Hungary,2016.5,100.0,100.0,14.68,11.87,15.969999999999999,3.93,62.740404,26138.5165,43505.00107,4.3888943055,15517.246725,107.0,93028.0
Iceland,2016.5,100.0,100.0,79.03,0.0,0.0,18.46,100.0,177233.925,1844.999969,2.0610190090000002,61759.103520000004,3.0,103000.0
India,2016.5,90.590383,54.349999999999994,33.39,1149.44,39.925,252.60000000000002,20.116968,6294.54435,2301705.0779999997,5.725890896,1837.3185515,464.0,3287263.0
Iraq,2016.5,99.545219,98.30000000000001,0.715,72.395,0.0,4.15,5.309728,14130.061,154299.99545,3.0771721065,6309.155646499999,93.0,438317.0
Ireland,2016.5,100.0,100.0,10.445,19.17,0.0,9.095,31.5846535,36935.865000000005,35639.99939,6.8153523929999995,68206.256495,73.0,84421.0
Israel,2016.5,100.0,100.0,4.085,64.36,0.0,1.93,2.8104465000000003,34155.7755,63685.001375,3.9491683355,40899.448835,400.0,20770.0
Italy,2016.5,100.0,100.0,17.2,166.14,0.0,118.255,41.626999,29839.447,322369.9951,0.202865376,34580.02452,206.0,301340.0
Jamaica,2016.5,96.33381,84.625,10.485,3.5250000000000004,0.0,0.555,13.529412,13960.600999999999,7790.0002,0.7910570055,5101.89119,273.0,10991.0
Japan,2016.5,100.0,100.0,6.635,813.92,31.94,164.625,19.5660595,41507.428,1149344.9705,0.2832550795,39626.501975,347.0,377944.0
Jordan,2016.5,99.87425,99.9,5.635,16.755000000000003,0.0,1.55,8.00431587,11463.807,25089.9992,2.6697722285,4268.4672295,115.0,89342.0
Kenya,2016.5,52.85,14.149999999999999,71.515,1.46,0.0,8.47,84.584385,1800.6817,18715.000155,5.000621815000001,1687.4339595,94.0,580367.0
Kiribati,2016.5,86.74340000000001,7.15,43.72,0.025,0.0,0.0,0.0,2356.3753,75.00000112000001,1.6143538474999999,1622.340999,147.0,811.0
Kuwait,2016.5,100.0,100.0,0.03,65.84,0.0,0.034999999999999996,0.050711752500000006,104708.7695,89110.00060999999,0.464170461,38217.796015,240.0,17818.0
Latvia,2016.5,100.0,100.0,40.88,2.795,0.0,2.995,52.004435,21828.298000000003,7425.000191,2.192211299,16824.14696,30.0,64589.0
Lesotho,2016.5,36.150105,37.55,40.93,0.0,0.0,0.51,100.0,2131.4612500000003,689.9999975999999,0.664556011,1153.9738834999998,71.0,30355.0
Liberia,2016.5,16.25,0.4,85.63,0.29500000000000004,0.0,0.0,0.0,1086.3797,1199.9999885,-0.8829522675,706.1262171,53.0,111369.0
Lithuania,2016.5,100.0,100.0,30.630000000000003,1.31,0.0,1.9900000000000002,61.152015999999996,22647.707,11294.9996,4.055390808,18063.39334,43.0,65300.0
Luxembourg,2016.5,100.0,100.0,11.649999999999999,0.89,0.0,0.6000000000000001,47.85438,77946.42,9569.999695,2.953446386,118366.455,242.0,2586.0
Madagascar,2016.5,26.6375365,0.9,81.445,1.09,0.0,0.9,45.225649000000004,656.8644999999999,3564.999938,3.8752176215,526.9252816000001,48.0,587041.0
Malawi,2016.5,11.55,1.7000000000000002,77.86,0.165,0.0,1.79,91.1764675,571.5676,1150.0000359,5.57409067,481.55795564999994,203.0,118484.0
Maldives,2016.5,100.0,98.15,1.155,0.5549999999999999,0.0,0.02,3.32414215,19862.650999999998,1739.99995,7.1066575245,9530.460329,1802.0,298.0
Mali,2016.5,40.9748085,0.9,78.785,1.5,0.0,1.3399999999999999,49.612009,1065.4750749999998,4605.000019,5.9204223445,863.66111515,17.0,1240192.0
Malta,2016.5,100.0,100.0,6.09,2.015,0.0,0.145,6.8502418,70007.535,2009.9999309999998,6.5865522245,28470.232205,1380.0,316.0
Mauritania,2016.5,42.315016,43.05,27.810000000000002,1.06,0.0,0.34,23.8618515,3571.8578,3425.0000714999996,5.017376930499999,1710.20596,5.0,1030700.0
Mauritius,2016.5,99.690185,97.075,9.765,2.44,0.0,0.505,17.0469255,20204.78,4060.000062,3.37847584,10625.5536,626.0,2040.0
Mexico,2016.5,99.38646499999999,84.75,10.05,235.815,10.09,58.230000000000004,22.487466,18330.163,455754.9896,1.3365868995,10439.683045000002,66.0,1964375.0
Mongolia,2016.5,92.15437,46.35,3.33,5.37,0.0,0.43,7.0480348,21989.463499999998,20595.000265000002,6.7437348505,4281.6836505,2.0,1564116.0
Montenegro,2016.5,98.85,61.725,42.345,1.46,0.0,1.8399999999999999,55.736633999999995,20447.485,2409.9999669999997,2.9233217865,8144.4980615,47.0,13812.0
Morocco,2016.5,95.6,97.7,10.915,28.255000000000003,0.0,5.6049999999999995,16.0116015,6802.110000000001,65085.000995,2.638714711,3203.349926,83.0,446550.0
Mozambique,2016.5,27.237225000000002,4.25,80.0,2.42,0.0,15.719999999999999,86.85940500000001,2717.04415,6180.000067,4.8565594035,590.30542555,40.0,799380.0
Myanmar,2016.5,60.179265,23.2,65.14,8.885,0.0,9.969999999999999,55.225136500000005,2782.85745,26880.00107,7.475061948,1240.6046055,83.0,676578.0
Namibia,2016.5,51.952803,45.05,30.39,0.03,0.0,1.4100000000000001,97.87151499999999,9495.1305,4084.999919,2.60221,5239.793652,3.0,824292.0
Nauru,2016.5,99.66889499999999,100.0,0.33,0.025,0.0,0.0,0.0,25440.3135,54.999999705,13.28125,10600.608155,541.0,21.0
Nepal,2016.5,87.4,30.6,80.725,0.0,0.0,5.02,100.0,1400.0139,10289.999962,6.3342691355,1019.9050004000001,203.0,147181.0
